station_j,station_k,dist,state_class,n_days,n_sw_j,n_sw_k,n_joint,expected_joint,ratio_emp,ratio,rho_hat
PONFERRADA,TARIFA,0.8967382848500989,dry-dry,600,50,8,1,1.025381782817501,1.5,0.9752465050161532,0.06467471630627657
PONFERRADA,TARIFA,0.8967382848500989,dry-wet,133,73,19,2,2.4730443220656384,0.1917808219178082,0.8087198365816094,-0.4192600247892845
PONFERRADA,TAVIRA,0.7478481243180282,dry-dry,391,35,2,0,0.6442040409762452,0.0,0.0,-0.939700998035096
PONFERRADA,TORREVIEJA,0.8091987553789503,dry-dry,901,84,22,3,2.32155821847153,1.4626623376623376,1.2922355235937797,0.10079088875480034
PONFERRADA,TORREVIEJA,0.8091987553789503,dry-wet,221,103,38,5,5.818749249523719,0.2823198773633112,0.8592911956825195,-0.016269269190647126
PONFERRADA,VALENCIA,0.6873597982338859,dry-dry,919,79,54,9,5.274870268867087,1.9388185654008439,1.7062030990826587,0.2143201082576429
PONFERRADA,VALENCIA,0.6873597982338859,dry-wet,268,110,99,19,11.626135094297199,0.46758494031221304,1.634249029956636,0.00446776511619604
PONFERRADA,VANDELLOS,0.6877805447493095,dry-dry,1101,106,81,13,8.241471916306056,1.66701607267645,1.5773881330929516,0.17762173699976228
PONFERRADA,VANDELLOS,0.6877805447493095,dry-wet,328,131,120,22,16.13404324557547,0.4590330788804071,1.3635763624244148,-0.023634657964180662
PONFERRADA,VIMIANZO,0.2238691906402687,dry-dry,1257,86,221,36,18.65589271480028,2.3809323371566875,1.9296851965406145,0.3872336778578869
PONFERRADA,VIMIANZO,0.2238691906402687,wet-wet,241,126,90,65,52.93022453423113,1.3813932980599648,1.2280318206087164,0.4587770777456337
PONFERRADA,VIMIANZO,0.2238691906402687,dry-wet,523,155,235,32,27.885037332493027,0.4594646533973919,1.147568841972179,-0.3476456822235508
PONFERRADA,ZAMORA,0.16155106552986837,dry-dry,1325,123,69,43,8.341200414007885,6.713208436432191,5.155133298054737,0.7616541064704835
PONFERRADA,ZAMORA,0.16155106552986837,wet-wet,157,77,96,59,46.11139874957034,1.2531114718614718,1.2795100907787957,0.48014012181009796
PONFERRADA,ZAMORA,0.16155106552986837,dry-wet,215,120,81,12,9.633758458484323,0.2654320987654321,1.2456197704886154,-0.46850668036567317
PORTO,SORIA,0.5457716770353707,dry-dry,1336,122,137,19,13.568020878800152,1.5187268158430058,1.4003516186864986,0.15834058442512677
PORTO,SORIA,0.5457716770353707,dry-wet,464,152,210,40,27.817835641994783,0.581453634085213,1.4379263906360347,-0.08922435368270407
PORTO,TARIFA,0.7600676331883891,dry-dry,941,76,11,0,1.5172156446352756,0.0,0.0,-0.9641151949160589
PORTO,TARIFA,0.7600676331883891,dry-wet,156,92,28,8,3.5301530785028405,0.484472049689441,2.266190678448666,0.0870499014308507
PORTO,TAVIRA,0.5678350387943679,dry-dry,715,59,5,0,1.1707381901156952,0.0,0.0,-0.6492821906947318
PORTO,TAVIRA,0.5678350387943679,dry-wet,115,68,17,6,2.116646132953107,0.596885813148789,2.8346731683623028,-0.22881965698000464
PORTO,TORREVIEJA,0.8247876968453945,dry-dry,1334,126,29,2,3.329068104818453,0.7301587301587301,0.6007687247687196,-0.07876271435330069
PORTO,TORREVIEJA,0.8247876968453945,dry-wet,285,141,51,8,8.220915187480514,0.3170629954109303,0.9731276649323737,0.06759951001179029
PORTO,VALENCIA,0.7636840600784899,dry-dry,943,91,63,4,5.321831383834596,0.6579452293738008,0.7516209574302292,-0.11193149561851805
PORTO,VALENCIA,0.7636840600784899,dry-wet,300,108,112,15,14.054256248341527,0.37202380952380953,1.0672923372782588,0.12432293054268562
PORTO,VANDELLOS,0.8343121473006241,dry-dry,1401,137,89,11,10.001718765310368,1.2639219224145002,1.0998109683059714,0.05793886932025761
PORTO,VANDELLOS,0.8343121473006241,dry-wet,400,168,155,36,22.660605374846888,0.5529953917050692,1.5886601176136161,0.04997502823655537
PORTO,VIMIANZO,0.25084137496856607,dry-dry,1454,110,248,73,20.597047133845663,3.8908357771260995,3.5441973563309612,0.683615083816432
PORTO,VIMIANZO,0.25084137496856607,wet-wet,277,149,76,62,74.3558688359457,1.5166019074531967,0.8338279273797884,0.5836512127378439
PORTO,VIMIANZO,0.25084137496856607,dry-wet,484,122,244,23,26.32453324578697,0.37395861327600105,0.8737096982975364,-0.5079845361108244
PORTO,ZAMORA,0.259792802110727,dry-dry,1362,113,81,19,8.400043337118028,2.82726974762373,2.2618930923895344,0.37439046303563434
PORTO,ZAMORA,0.259792802110727,dry-wet,283,116,137,23,14.541511420117146,0.4095771457337025,1.5816787770892327,-0.3475220394800996
SORIA,TARIFA,0.8307470265440196,dry-dry,728,76,13,4,1.6190725516338997,2.9473684210526314,2.470550189961141,0.3123165755407987
SORIA,TARIFA,0.8307470265440196,dry-wet,162,103,18,6,3.496865411333867,0.5242718446601942,1.7158223992702426,0.1596446072893835
SORIA,TAVIRA,0.7785970528385282,dry-dry,454,52,7,2,0.9888346111526191,2.4945054945054945,2.0225829248318203,0.26180873504845403
SORIA,TAVIRA,0.7785970528385282,dry-wet,119,71,7,3,2.134783639895673,0.7183098591549296,1.4052946368591293,-0.29044249063209776
SORIA,TORREVIEJA,0.5401302785939772,dry-dry,958,109,16,3,3.3149350318272246,1.6479357798165137,0.9049951118789712,0.14286147236875382
SORIA,TORREVIEJA,0.5401302785939772,dry-wet,216,138,29,5,5.9018396232495025,0.2698650674662669,0.8471934717275564,-0.38567529589146976
SORIA,VALENCIA,0.3631277292387,dry-dry,963,121,48,17,7.490512320080097,2.818698347107438,2.269537686284483,0.38841248328676425
SORIA,VALENCIA,0.3631277292387,dry-wet,288,149,98,26,14.743874139175627,0.5128064648678263,1.7634442450180692,-0.06893529880138695
SORIA,VANDELLOS,0.31319966008783096,dry-dry,1193,131,72,22,11.73889368457195,2.782654792196777,1.8741118704323807,0.401317549855234
SORIA,VANDELLOS,0.31319966008783096,dry-wet,285,145,89,12,16.50156549624551,0.26501356063541265,0.7272037312296387,-0.5062971061570454
SORIA,VIMIANZO,0.5988858426736478,dry-dry,1260,138,224,30,24.438988298422824,1.2228260869565217,1.227546723034196,0.09775427134556307
SORIA,VIMIANZO,0.5988858426736478,wet-wet,143,89,59,41,36.017908865210316,1.1165492287183394,1.1383226092729077,0.18850038592898294
SORIA,VIMIANZO,0.5988858426736478,dry-wet,794,241,292,68,52.7212059947346,0.7672369692491332,1.289803575562959,-0.0024554936893008148
SORIA,ZAMORA,0.28602326941769207,dry-dry,1410,145,84,40,11.58022302748481,4.630541871921182,3.4541649072788094,0.6136770446260267
SORIA,ZAMORA,0.28602326941769207,wet-wet,124,68,90,58,41.66811615246253,1.1751633986928105,1.3919515772630455,0.47632898160070614
