station_j,station_k,state_class,dist_exact,n_class_days_exact,n_used_exact,n_cells_exact,phi_bar_exact,dist_binned,n_class_days_binned,n_used_binned,n_cells_binned,phi_bar_binned
BRAGANCA,GETAFE,wet-wet,303.51700722728503,286,208,7,0.30275221661648133,303.51700722728503,286,260,7,0.2867471566914915
BRAGANCA,LORCA,dry-dry,632.034788008791,1145,175,11,-0.12494223893441823,632.034788008791,1145,1145,16,-0.026711954252354918
BRAGANCA,LORCA,dry-wet,632.034788008791,741,234,14,0.1283944810163626,632.034788008791,741,627,18,0.06098698693982487
BRAGANCA,LORCA,wet-wet,632.034788008791,89,54,3,-0.2868525563936287,632.034788008791,89,64,3,-0.35827837771342086
BRAGANCA,MONTSERRAT,dry-dry,712.5915308846161,1122,378,19,0.18248998165958916,712.5915308846161,1122,1101,15,0.1506597498896342
BRAGANCA,MONTSERRAT,dry-wet,712.5915308846161,663,345,17,-0.060066165522289876,712.5915308846161,663,613,19,-0.07594461209431974
BRAGANCA,MONTSERRAT,wet-wet,712.5915308846161,205,143,6,-0.042503962664703854,712.5915308846161,205,190,6,-0.04357399599635922
BRAGANCA,OURENSE,dry-dry,108.92866052224846,788,474,15,0.6880555085054504,108.92866052224846,788,776,12,0.670831727577918
BRAGANCA,OURENSE,dry-wet,108.92866052224846,217,97,7,-0.49159389041746715,108.92866052224846,217,158,8,-0.589043134010678
BRAGANCA,OURENSE,wet-wet,108.92866052224846,481,360,12,0.5474495973139343,108.92866052224846,481,462,10,0.5326853619733346
BRAGANCA,OVIEDO,dry-dry,186.4182409514349,885,486,22,0.4623172220445653,186.4182409514349,885,863,12,0.42156479167519395
BRAGANCA,OVIEDO,dry-wet,186.4182409514349,605,300,17,-0.28119976643497185,186.4182409514349,605,565,19,-0.24742479765541533
BRAGANCA,OVIEDO,wet-wet,186.4182409514349,429,304,10,0.16566298432207938,186.4182409514349,429,406,10,0.14158917443284724
BRAGANCA,PAMPLONA,dry-dry,434.5720584909428,746,321,13,0.4258590450841178,434.5720584909428,746,734,14,0.3127744044084785
BRAGANCA,PAMPLONA,dry-wet,434.5720584909428,504,227,11,-0.06374454514623268,434.5720584909428,504,468,19,-0.07929688209372882
BRAGANCA,PAMPLONA,wet-wet,434.5720584909428,317,222,8,0.19507015923926668,434.5720584909428,317,294,8,0.17633683856451188
BRAGANCA,PONFERRADA,dry-dry,85.38430983920601,928,611,15,0.7749139007763869,85.38430983920601,928,891,9,0.7559936152512128
BRAGANCA,PONFERRADA,dry-wet,85.38430983920601,200,88,6,-0.6783230026293343,85.38430983920601,200,161,9,-0.6884391586293506
BRAGANCA,PONFERRADA,wet-wet,85.38430983920601,517,372,9,0.5848169877443669,85.38430983920601,517,456,7,0.5795515022787157
BRAGANCA,PORTO,dry-dry,173.2717078252005,1357,800,19,0.6732825238396073,173.2717078252005,1357,1343,13,0.663324235209567
BRAGANCA,PORTO,dry-wet,173.2717078252005,366,170,9,-0.5655057245987813,173.2717078252005,366,314,12,-0.5024583635170022
BRAGANCA,PORTO,wet-wet,173.2717078252005,671,451,11,0.531243810042703,173.2717078252005,671,647,12,0.5580903010739012
BRAGANCA,SORIA,dry-dry,353.1398767564946,895,450,14,0.4629273308713071,353.1398767564946,895,870,13,0.39962450498545643
BRAGANCA,SORIA,dry-wet,353.1398767564946,380,201,11,-0.20573800546331378,353.1398767564946,380,326,14,-0.2931730918614107
BRAGANCA,SORIA,wet-wet,353.1398767564946,357,246,8,0.34397858644656915,353.1398767564946,357,333,8,0.3216602183188318
BRAGANCA,TARIFA,dry-dry,651.3030041168986,814,225,10,0.22962830272249718,651.3030041168986,814,795,15,0.14450629665299672
BRAGANCA,TARIFA,dry-wet,651.3030041168986,452,187,11,-0.08144396105890687,651.3030041168986,452,391,16,-0.13931696500974117
BRAGANCA,TARIFA,wet-wet,651.3030041168986,230,141,7,0.2836901099936102,651.3030041168986,230,197,7,0.1954932209401668
BRAGANCA,TORREVIEJA,dry-dry,667.4514050425146,1305,166,10,-0.05875540341342607,667.4514050425146,1305,1305,16,-0.034702749644600836
BRAGANCA,TORREVIEJA,dry-wet,667.4514050425146,848,296,17,0.09535649076313533,667.4514050425146,848,798,19,0.049925917248038035
BRAGANCA,TORREVIEJA,wet-wet,667.4514050425146,93,48,3,0.08386727529450382,667.4514050425146,93,73,4,-0.09588510502644004
BRAGANCA,VALENCIA,dry-dry,596.5755591706245,819,156,8,0.04414145847885298,596.5755591706245,819,768,15,0.11294107433994967
BRAGANCA,VALENCIA,dry-wet,596.5755591706245,604,247,13,0.03678452234043657,596.5755591706245,604,562,20,0.03351871910231107
BRAGANCA,VALENCIA,wet-wet,596.5755591706245,133,69,3,-0.004501983067708624,596.5755591706245,133,115,5,-0.03513566955440325
BRAGANCA,VANDELLOS,dry-dry,641.9702702886015,998,248,12,0.23824306232826625,641.9702702886015,998,982,15,0.17178068710737257
BRAGANCA,VANDELLOS,dry-wet,641.9702702886015,579,237,13,-0.0515844650675046,641.9702702886015,579,529,18,-0.060024172533820655
BRAGANCA,VANDELLOS,wet-wet,641.9702702886015,171,98,4,0.15775403399622911,641.9702702886015,171,155,6,0.1388883738407476
BRAGANCA,VIMIANZO,dry-dry,234.93580978932752,940,397,16,0.3436347132825167,234.93580978932752,940,919,13,0.33936073732027283
BRAGANCA,VIMIANZO,dry-wet,234.93580978932752,671,326,20,-0.3257256869812729,234.93580978932752,671,652,21,-0.33474073369138957
BRAGANCA,VIMIANZO,wet-wet,234.93580978932752,628,359,13,0.2889576468563301,234.93580978932752,628,621,13,0.2708538559980385
BRAGANCA,ZAMORA,dry-dry,89.6056573567959,1219,777,22,0.6144159252587302,89.6056573567959,1219,1199,13,0.6331470075064208
BRAGANCA,ZAMORA,dry-wet,89.6056573567959,271,134,8,-0.5221957087202954,89.6056573567959,271,221,10,-0.52819308490402
BRAGANCA,ZAMORA,wet-wet,89.6056573567959,437,325,7,0.5842776895925536,89.6056573567959,437,413,8,0.5832488543412738
CADIZ,CAMPDEVANOL,dry-dry,963.2819400725859,898,315,13,0.22873047088716897,963.2819400725859,898,898,16,0.2561117263109589
CADIZ,CAMPDEVANOL,dry-wet,963.2819400725859,449,186,11,-0.16951108659833394,963.2819400725859,449,407,17,-0.16982168779465093
CADIZ,CAMPDEVANOL,wet-wet,963.2819400725859,218,162,6,0.13296287243730928,963.2819400725859,218,198,6,0.18283953821669818
CADIZ,CUENCA,dry-dry,535.6507685530933,929,433,16,0.5033042648960119,535.6507685530933,929,929,16,0.48890093307191684
CADIZ,CUENCA,dry-wet,535.6507685530933,350,143,8,-0.3759320017001238,535.6507685530933,350,315,15,-0.39252431007029454
CADIZ,CUENCA,wet-wet,535.6507685530933,320,220,6,0.2586170103715241,535.6507685530933,320,300,8,0.2727813305910197
CADIZ,DAROCA,dry-dry,662.9000222460407,791,313,14,0.4192552011942584,662.9000222460407,791,757,14,0.39867880544017853
CADIZ,DAROCA,dry-wet,662.9000222460407,328,125,8,-0.2829779080275765,662.9000222460407,328,306,16,-0.24276144667563546
CADIZ,DAROCA,wet-wet,662.9000222460407,219,142,4,0.33434730012330705,662.9000222460407,219,185,5,0.2985938084478056
CADIZ,EXTREMO,dry-dry,636.3172506741432,367,53,3,0.14527036230609272,636.3172506741432,367,321,11,0.17184277534010825
CADIZ,EXTREMO,dry-wet,636.3172506741432,366,82,6,-0.17844034827880859,636.3172506741432,366,313,16,-0.13938658551201671
CADIZ,EXTREMO,wet-wet,636.3172506741432,181,65,4,0.2635733156328851,636.3172506741432,181,149,7,0.1946134395515976
CADIZ,GETAFE,dry-dry,476.75290326913614,997,485,15,0.6021684474987574,476.75290326913614,997,988,15,0.5362533893559149
CADIZ,GETAFE,dry-wet,476.75290326913614,247,107,8,-0.34626728751762825,476.75290326913614,247,216,12,-0.4018016937112351
CADIZ,GETAFE,wet-wet,476.75290326913614,276,201,6,0.4802180071916042,476.75290326913614,276,251,6,0.5135756621363203
CADIZ,LORCA,dry-dry,425.2960461605942,1095,262,13,0.25343499512355105,425.2960461605942,1095,1095,16,0.20797336762266974
CADIZ,LORCA,dry-wet,425.2960461605942,427,137,9,-0.2537631856211165,425.2960461605942,427,395,16,-0.21452347350928747
CADIZ,LORCA,wet-wet,425.2960461605942,146,92,3,0.07029887763708684,425.2960461605942,146,129,5,0.0695306979370331
CADIZ,MONTSERRAT,dry-dry,899.2086026396215,1089,354,16,0.30133984622618576,899.2086026396215,1089,1089,16,0.2642468154333147
CADIZ,MONTSERRAT,dry-wet,899.2086026396215,442,178,10,-0.1443418057100927,899.2086026396215,442,420,17,-0.20393492171724345
CADIZ,MONTSERRAT,wet-wet,899.2086026396215,207,154,5,0.2896911812926608,899.2086026396215,207,179,4,0.28288145138930876
