station_j,station_k,state_class,dist_exact,n_class_days_exact,n_used_exact,n_cells_exact,phi_bar_exact,dist_binned,n_class_days_binned,n_used_binned,n_cells_binned,phi_bar_binned
PAMPLONA,PONFERRADA,dry-wet,406.46655924264945,458,230,12,-0.26090094980702083,406.46655924264945,458,415,17,-0.2433876156936792
PAMPLONA,PONFERRADA,wet-wet,406.46655924264945,348,249,10,0.2484943032025716,406.46655924264945,348,323,8,0.20911172205636186
PAMPLONA,PORTO,dry-dry,607.5222615218898,623,274,13,0.1006265948515075,607.5222615218898,623,615,14,0.14586595690426507
PAMPLONA,PORTO,dry-wet,607.5222615218898,550,292,16,-0.09349268738983892,607.5222615218898,550,503,19,-0.048746506432058
PAMPLONA,PORTO,wet-wet,607.5222615218898,327,222,10,0.19682516894690122,607.5222615218898,327,317,10,0.12903107035921005
PAMPLONA,SORIA,dry-dry,135.18321493711682,717,424,13,0.5278419413856911,135.18321493711682,717,698,13,0.5298149674483953
PAMPLONA,SORIA,dry-wet,135.18321493711682,349,189,10,-0.4723237280836186,135.18321493711682,349,295,13,-0.40272399075223847
PAMPLONA,SORIA,wet-wet,135.18321493711682,434,330,9,0.4273866124208547,135.18321493711682,434,424,9,0.4029061634354439
PAMPLONA,TARIFA,dry-dry,829.2910260139029,711,228,12,0.1886616810255963,829.2910260139029,711,702,15,0.14253313472565915
PAMPLONA,TARIFA,dry-wet,829.2910260139029,529,218,12,-0.16391439625161824,829.2910260139029,529,499,19,-0.1671866505143188
PAMPLONA,TARIFA,wet-wet,829.2910260139029,228,173,8,0.18834918895922967,829.2910260139029,228,202,6,0.1690451999636136
PAMPLONA,TORREVIEJA,dry-dry,543.9662574703891,732,172,11,0.2873635935099704,543.9662574703891,732,685,12,0.13496487153887343
PAMPLONA,TORREVIEJA,dry-wet,543.9662574703891,573,178,11,-0.03463689806787597,543.9662574703891,573,509,14,-0.06710733176712062
PAMPLONA,TORREVIEJA,wet-wet,543.9662574703891,97,70,3,0.025818282296628477,543.9662574703891,97,79,3,-0.010736000464352186
PAMPLONA,VALENCIA,dry-dry,386.0425260268582,790,291,14,0.24885936492597174,386.0425260268582,790,768,15,0.2197902874889316
PAMPLONA,VALENCIA,dry-wet,386.0425260268582,536,260,15,-0.22902010677877835,386.0425260268582,536,508,18,-0.1778947364237473
PAMPLONA,VALENCIA,wet-wet,386.0425260268582,203,164,7,0.06995897854843637,386.0425260268582,203,184,5,0.03949161187268478
PAMPLONA,VANDELLOS,dry-dry,293.08502405862976,804,325,14,0.34148307153984925,293.08502405862976,804,804,16,0.33602470835732984
PAMPLONA,VANDELLOS,dry-wet,293.08502405862976,504,229,13,-0.23013064149712642,293.08502405862976,504,470,16,-0.22816138800589653
PAMPLONA,VANDELLOS,wet-wet,293.08502405862976,223,173,5,0.24420546399977075,293.08502405862976,223,207,5,0.21289999902777357
PAMPLONA,VIMIANZO,dry-dry,603.493403223551,782,420,18,0.14154601292110264,603.493403223551,782,751,14,0.1653101069103274
PAMPLONA,VIMIANZO,dry-wet,603.493403223551,719,386,20,-0.19560298856058494,603.493403223551,719,696,22,-0.1862510944535337
PAMPLONA,VIMIANZO,wet-wet,603.493403223551,620,426,18,0.2816887493993939,603.493403223551,620,608,11,0.18879807584561784
PAMPLONA,ZAMORA,dry-dry,367.3654725601395,928,471,19,0.3628243906140495,367.3654725601395,928,900,12,0.32808764897528747
PAMPLONA,ZAMORA,dry-wet,367.3654725601395,596,304,16,-0.19257357384731708,367.3654725601395,596,541,17,-0.1669669731570017
PAMPLONA,ZAMORA,wet-wet,367.3654725601395,358,275,9,0.3015823922650286,367.3654725601395,358,341,8,0.23010663047446542
PONFERRADA,PORTO,dry-dry,227.03305237919082,853,409,12,0.6170259575623023,227.03305237919082,853,838,14,0.5502457219058761
PONFERRADA,PORTO,dry-wet,227.03305237919082,284,125,8,-0.5424677618753382,227.03305237919082,284,240,13,-0.4784710716787694
PONFERRADA,PORTO,wet-wet,227.03305237919082,465,326,9,0.4751786201234062,227.03305237919082,465,450,11,0.5056491158901587
PONFERRADA,SORIA,dry-dry,350.40778284497753,633,390,14,0.4603081150317262,350.40778284497753,633,621,13,0.4100604094297804
PONFERRADA,SORIA,dry-wet,350.40778284497753,345,170,9,-0.46594833859972473,350.40778284497753,345,283,12,-0.43895654037743825
PONFERRADA,SORIA,wet-wet,350.40778284497753,403,266,8,0.3561998919300449,350.40778284497753,403,383,9,0.3560329905462358
PONFERRADA,TARIFA,dry-dry,733.389308612728,674,200,10,0.14331689693825359,733.389308612728,674,663,15,0.12542505354993302
PONFERRADA,TARIFA,dry-wet,733.389308612728,475,176,11,-0.11366300314699164,733.389308612728,475,433,18,-0.19128366994551618
PONFERRADA,TARIFA,wet-wet,733.389308612728,219,130,6,0.09045363285558486,733.389308612728,219,195,7,0.08134162683823445
PONFERRADA,TORREVIEJA,dry-dry,713.6574189462601,768,94,6,0.17823336903414674,713.6574189462601,768,679,12,0.020664452824133834
PONFERRADA,TORREVIEJA,dry-wet,713.6574189462601,616,199,13,0.10088082848186657,713.6574189462601,616,575,17,-0.007352436100818408
PONFERRADA,TORREVIEJA,wet-wet,713.6574189462601,75,40,2,-0.2878882804721825,713.6574189462601,75,59,3,-0.3170921851999322
PONFERRADA,VALENCIA,dry-dry,625.051834320131,697,166,9,0.16165528215403466,625.051834320131,697,680,15,0.11605780705364484
PONFERRADA,VALENCIA,dry-wet,625.051834320131,525,171,9,0.040604524961490016,625.051834320131,525,484,19,0.028624206729019115
PONFERRADA,VALENCIA,wet-wet,625.051834320131,159,102,5,-0.2499951609811046,625.051834320131,159,148,6,-0.15693237360215992
PONFERRADA,VANDELLOS,dry-dry,644.6636540795565,737,178,8,0.158958197376549,644.6636540795565,737,721,15,0.17635258487208536
PONFERRADA,VANDELLOS,dry-wet,644.6636540795565,518,209,12,0.06579098647661605,644.6636540795565,518,488,18,-0.07336394617329185
PONFERRADA,VANDELLOS,wet-wet,644.6636540795565,158,95,4,0.12531360711852563,644.6636540795565,158,137,5,0.06587736146433769
PONFERRADA,VIMIANZO,dry-dry,206.98289332004413,834,439,15,0.45487604140185944,206.98289332004413,834,814,13,0.4046712882998355
PONFERRADA,VIMIANZO,dry-wet,206.98289332004413,489,227,13,-0.44696917317393614,206.98289332004413,489,447,16,-0.42596968355975195
PONFERRADA,VIMIANZO,wet-wet,206.98289332004413,652,417,15,0.412112046249958,206.98289332004413,652,641,12,0.38676565728977796
PONFERRADA,ZAMORA,dry-dry,136.70197868466016,932,540,18,0.5860497808333629,136.70197868466016,932,921,14,0.5260122622003427
PONFERRADA,ZAMORA,dry-wet,136.70197868466016,318,171,10,-0.5426934683142871,136.70197868466016,318,267,12,-0.4814054096283942
PONFERRADA,ZAMORA,wet-wet,136.70197868466016,440,319,9,0.40080912814577696,136.70197868466016,440,412,8,0.4206056103958259
PORTO,SORIA,dry-dry,519.3726033462698,796,357,15,0.2262646050453127,519.3726033462698,796,789,15,0.19099595110887305
PORTO,SORIA,dry-wet,519.3726033462698,491,244,12,-0.24474267759320265,519.3726033462698,491,456,18,-0.18810167155808644
PORTO,SORIA,wet-wet,519.3726033462698,369,246,8,0.32692154856591976,519.3726033462698,369,328,7,0.297329972960433
PORTO,TARIFA,dry-dry,638.7996392399266,823,187,9,0.1824357741787155,638.7996392399266,823,757,14,0.14331777090743986
PORTO,TARIFA,dry-wet,638.7996392399266,540,168,9,-0.1305945335836542,638.7996392399266,540,477,19,-0.10107281961136827
PORTO,TARIFA,wet-wet,638.7996392399266,208,127,6,0.0547659568252901,638.7996392399266,208,190,7,0.022110151989399637
PORTO,TORREVIEJA,dry-dry,772.2164504147961,1327,326,21,-0.029384282156898946,772.2164504147961,1327,1304,15,-0.01964718566091
PORTO,TORREVIEJA,dry-wet,772.2164504147961,980,380,21,0.09893245108742875,772.2164504147961,980,881,18,0.062051949903724264
PORTO,TORREVIEJA,wet-wet,772.2164504147961,96,56,3,-0.1589504186399537,772.2164504147961,96,81,4,-0.23784302933363713
PORTO,VALENCIA,dry-dry,730.4403037146251,798,187,10,0.002266958189317845,730.4403037146251,798,798,16,0.04935947810106104
PORTO,VALENCIA,dry-wet,730.4403037146251,647,232,12,0.03265976423841798,730.4403037146251,647,622,22,0.0780269596073293
