station_j,station_k,state_class,dist_exact,n_class_days_exact,n_used_exact,n_cells_exact,phi_bar_exact,dist_binned,n_class_days_binned,n_used_binned,n_cells_binned,phi_bar_binned
ARANJUEZ,PORTO,dry-dry,451.91969297701263,672,218,12,0.12802020197709352,451.91969297701263,672,649,13,0.19092323289645394
ARANJUEZ,PORTO,dry-wet,451.91969297701263,452,157,11,-0.2534466976307377,451.91969297701263,452,412,17,-0.24364504604809076
ARANJUEZ,PORTO,wet-wet,451.91969297701263,248,166,9,0.28859413399044354,451.91969297701263,248,233,8,0.24177687052405283
ARANJUEZ,SORIA,dry-dry,209.8666537534825,572,300,11,0.5478386782027498,209.8666537534825,572,544,12,0.576724002107662
ARANJUEZ,SORIA,dry-wet,209.8666537534825,206,67,4,-0.5943625995508514,209.8666537534825,206,148,8,-0.47716959022218786
ARANJUEZ,SORIA,wet-wet,209.8666537534825,285,221,6,0.5046781110345195,209.8666537534825,285,277,7,0.49743944082244534
ARANJUEZ,TARIFA,dry-dry,485.1795408589508,894,404,16,0.44650012373309256,485.1795408589508,894,878,14,0.45835483628802204
ARANJUEZ,TARIFA,dry-wet,485.1795408589508,302,136,9,-0.4144629594427658,485.1795408589508,302,266,13,-0.38300781139704987
ARANJUEZ,TARIFA,wet-wet,485.1795408589508,230,164,5,0.44749488350798977,485.1795408589508,230,222,7,0.4384266176984045
ARANJUEZ,TORREVIEJA,dry-dry,337.60440912071414,915,162,7,0.4376668330711514,337.60440912071414,915,838,12,0.3070607041488282
ARANJUEZ,TORREVIEJA,dry-wet,337.60440912071414,272,55,5,-0.16525460070581352,337.60440912071414,272,199,8,-0.28833988730798865
ARANJUEZ,TORREVIEJA,wet-wet,337.60440912071414,104,67,3,0.41324889552743177,337.60440912071414,104,81,3,0.439909669840603
ARANJUEZ,VALENCIA,dry-dry,279.4178733912003,930,312,12,0.3585979475770709,279.4178733912003,930,901,15,0.2884418419400719
ARANJUEZ,VALENCIA,dry-wet,279.4178733912003,269,65,4,-0.3303103241080944,279.4178733912003,269,217,11,-0.36539163666051294
ARANJUEZ,VALENCIA,wet-wet,279.4178733912003,165,120,4,0.3604888736786117,279.4178733912003,165,141,4,0.3314707745953264
ARANJUEZ,VANDELLOS,dry-dry,386.29498057401196,786,193,9,0.47726088587436916,386.29498057401196,786,753,14,0.35297846558452095
ARANJUEZ,VANDELLOS,dry-wet,386.29498057401196,241,79,6,-0.1974127395023373,386.29498057401196,241,199,11,-0.23183711182398412
ARANJUEZ,VANDELLOS,wet-wet,386.29498057401196,145,104,4,0.49744911935140074,386.29498057401196,145,127,4,0.4521992353223914
ARANJUEZ,VIMIANZO,dry-dry,565.5182139725509,663,195,10,-0.008186694665909692,565.5182139725509,663,625,12,0.1416717869047852
ARANJUEZ,VIMIANZO,dry-wet,565.5182139725509,764,203,13,-0.18289281939125318,565.5182139725509,764,708,18,-0.1965615722146387
ARANJUEZ,VIMIANZO,wet-wet,565.5182139725509,305,168,8,0.18872919063177734,565.5182139725509,305,285,8,0.20337136502843559
ARANJUEZ,ZAMORA,dry-dry,244.76945615902187,974,538,16,0.6032336361924052,244.76945615902187,974,920,12,0.5873038832855254
ARANJUEZ,ZAMORA,dry-wet,244.76945615902187,273,131,8,-0.40881505331739937,244.76945615902187,273,209,10,-0.43326293100636504
ARANJUEZ,ZAMORA,wet-wet,244.76945615902187,280,220,6,0.45957236986034006,244.76945615902187,280,272,7,0.467546718642352
BARCELOS,BEJA,dry-dry,394.9462144858965,821,223,11,0.22999957333341342,394.9462144858965,821,797,14,0.2215369550908274
BARCELOS,BEJA,dry-wet,394.9462144858965,588,240,14,-0.15248402462154553,394.9462144858965,588,549,19,-0.208481967880227
BARCELOS,BEJA,wet-wet,394.9462144858965,393,198,9,0.08257885768961479,394.9462144858965,393,340,10,0.13850556911058354
BARCELOS,BRAGANCA,dry-dry,158.84068706909179,879,475,15,0.30336331222181967,158.84068706909179,879,865,10,0.3696899472971182
BARCELOS,BRAGANCA,dry-wet,158.84068706909179,471,239,9,-0.22083509759665707,158.84068706909179,471,443,15,-0.2547734685261635
BARCELOS,BRAGANCA,wet-wet,158.84068706909179,517,294,10,0.14835036899622056,158.84068706909179,517,430,9,0.1846986120050327
