station_j,station_k,dist,n_days,agree,agree_indep
BRAGANCA,GETAFE,303.51700722728503,10745,0.81312238250349,0.6672746594547608
BRAGANCA,LORCA,632.034788008791,10779,0.7016420818257724,0.6968635783605505
BRAGANCA,MONTSERRAT,712.5915308846161,10816,0.698594674556213,0.652364575028898
BRAGANCA,OURENSE,108.92866052224846,10371,0.8704078680937228,0.6036027923941761
BRAGANCA,OVIEDO,186.4182409514349,10696,0.6960545998504114,0.5559168674843855
BRAGANCA,PAMPLONA,434.5720584909428,9390,0.715122470713525,0.5994035673361828
BRAGANCA,PONFERRADA,85.38430983920601,10544,0.8842943854324734,0.6097520619416208
BRAGANCA,PORTO,173.2717078252005,11322,0.8525878819996467,0.6065667953285869
BRAGANCA,SORIA,353.1398767564946,10518,0.7993915193002472,0.6220793537513345
BRAGANCA,TARIFA,651.3030041168986,10386,0.7615058732909686,0.6732391665094739
BRAGANCA,TORREVIEJA,667.4514050425146,11258,0.70305560490318,0.6974927988612767
BRAGANCA,VALENCIA,596.5755591706245,10679,0.6989418484876861,0.6746419739537616
BRAGANCA,VANDELLOS,641.9702702886015,9271,0.721173551936145,0.6736126996862858
BRAGANCA,VIMIANZO,234.93580978932752,10868,0.7073058520426941,0.5313803294336429
BRAGANCA,ZAMORA,89.6056573567959,10884,0.8748621830209482,0.6518783141001859
CADIZ,CAMPDEVANOL,963.2819400725859,12617,0.7242609178093049,0.6596494921213301
CADIZ,CUENCA,535.6507685530933,13134,0.8397289477691487,0.7046919340854171
CADIZ,DAROCA,662.9000222460407,12756,0.794057698338037,0.7043741064613779
CADIZ,EXTREMO,636.3172506741432,7133,0.6855460535539044,0.6092458914450243
CADIZ,GETAFE,476.75290326913614,12932,0.8744200433034334,0.7359430776953023
CADIZ,LORCA,425.2960461605942,13043,0.8346239362109944,0.7851641452279037
CADIZ,MONTSERRAT,899.2086026396215,13058,0.7869505284117017,0.722471010421525
CADIZ,OURENSE,662.218400872485,12405,0.7461507456670697,0.6441190856203758
CADIZ,OVIEDO,762.7869596510226,12748,0.6342171320991528,0.5752372094507445
CADIZ,PAMPLONA,805.9017585906898,12046,0.7136808899219658,0.6428829388679567
CADIZ,PONFERRADA,674.972969789671,12684,0.7580416272469253,0.657083189784628
CADIZ,PORTO,566.34726285661,10137,0.7410476472329092,0.650307352888584
CADIZ,SORIA,670.7214943588078,12515,0.7918497802636836,0.6710161627975433
CADIZ,TARIFA,80.03351863142868,12487,0.9201569632417714,0.7453916446551996
CADIZ,TORREVIEJA,517.7215139227709,10134,0.8293862245904875,0.7822763523292928
CADIZ,VALENCIA,613.3347128165052,12904,0.8167234965902046,0.7531541727929447
CADIZ,VANDELLOS,792.135361733422,10508,0.8107156452226875,0.751238833238046
CADIZ,VIMIANZO,767.0536111227079,13015,0.6007683442182098,0.5404443793341872
CADIZ,ZAMORA,559.5875847493983,13130,0.8324447829398325,0.7153172923625921
CAMPDEVANOL,CUENCA,432.37580926553534,13517,0.7564548346526596,0.6334144163665412
CAMPDEVANOL,DAROCA,321.63614811834907,13157,0.7798890324542069,0.6399770761462057
CAMPDEVANOL,EXTREMO,877.6268823610054,7580,0.6295514511873351,0.5596042946497874
CAMPDEVANOL,GETAFE,536.5420570240863,13281,0.7455010917852571,0.6564905519401275
CAMPDEVANOL,LORCA,604.8174522164234,13408,0.7341139618138425,0.6932132957191752
CAMPDEVANOL,MONTSERRAT,74.97672363971473,13425,0.8490130353817504,0.656805271068399
CAMPDEVANOL,OURENSE,824.5451288996337,12786,0.6439856092601283,0.5837489743993082
CAMPDEVANOL,OVIEDO,667.8256272139039,13107,0.6446936751354239,0.5478394824971903
CAMPDEVANOL,PAMPLONA,318.7496701681545,11989,0.7119025773625823,0.5911583451700343
CAMPDEVANOL,PONFERRADA,720.628643357688,13031,0.6625738623282941,0.5974670839632773
CAMPDEVANOL,PORTO,906.1590406468866,10674,0.62619449128724,0.5850230921277233
CAMPDEVANOL,SORIA,387.4173084136961,12871,0.7469505088959677,0.6135317238168294
CAMPDEVANOL,TARIFA,961.2019371404201,12740,0.7215070643642072,0.6499629682288098
CAMPDEVANOL,TORREVIEJA,531.6989397599546,10614,0.7331825890333522,0.6905738205286298
CAMPDEVANOL,VALENCIA,371.9501231758438,13289,0.7693581157348183,0.672666413590091
CAMPDEVANOL,VANDELLOS,177.15493704075024,10992,0.8014919941775837,0.6713594730483159
CAMPDEVANOL,VIMIANZO,921.2327549660163,13354,0.5609555189456342,0.5122617204029274
CAMPDEVANOL,ZAMORA,658.7984610222471,13490,0.7072646404744255,0.6395606426015661
CUENCA,DAROCA,131.42533507353394,13682,0.8589387516444964,0.6677858207773525
CUENCA,EXTREMO,571.7664461104613,7825,0.6912460063897764,0.5889070531873226
CUENCA,GETAFE,137.54018635559115,13839,0.8893706192643978,0.6926004677586475
CUENCA,LORCA,271.00645499216216,13936,0.7905424799081515,0.7319078828959357
CUENCA,MONTSERRAT,374.7167603573681,13934,0.797258504377781,0.6823959222462157
CUENCA,OURENSE,540.8797259364422,13292,0.7487210352091483,0.616847525433091
CUENCA,OVIEDO,479.503617813958,13626,0.671877293409658,0.5628122195119266
CUENCA,PAMPLONA,308.63219424047696,12493,0.7573841351156648,0.6184897129887996
CUENCA,PONFERRADA,465.0263825421571,13556,0.7657863676600767,0.6284880572720247
CUENCA,PORTO,567.1821488614561,11077,0.7251060756522524,0.6180160569862101
CUENCA,SORIA,192.20784562821694,13416,0.8467501490757304,0.638184347994218
CUENCA,TARIFA,543.314058633662,13245,0.8326160815402038,0.69810830234845
CUENCA,TORREVIEJA,262.82152027625284,11016,0.786038489469862,0.7298266490643023
CUENCA,VALENCIA,164.3475767291076,13800,0.8216666666666667,0.7079577513398934
CUENCA,VANDELLOS,272.5041374933283,11372,0.8087407667956384,0.704035384594973
CUENCA,VIMIANZO,664.1938871252027,13898,0.6213843718520651,0.5348576806805935
CUENCA,ZAMORA,343.440380730089,14018,0.8247253531174205,0.6738413766739129
DAROCA,EXTREMO,594.9213952362923,7484,0.6688936397648316,0.5853428679788901
DAROCA,GETAFE,214.91018245542134,13456,0.8413347205707491,0.695322691957712
DAROCA,LORCA,385.4390109784557,13549,0.7814598863384752,0.7339577618118348
DAROCA,MONTSERRAT,276.3837482779679,13558,0.8070511874907803,0.686199015861837
DAROCA,OURENSE,551.811062081934,12912,0.7175495662949195,0.615058779609875
DAROCA,OVIEDO,443.8119946032598,13229,0.6940055937712601,0.5635252532197739
DAROCA,PAMPLONA,190.36900257435718,12141,0.7888147599044559,0.6199908955722919
DAROCA,PONFERRADA,459.08235989634846,13190,0.7382107657316148,0.6296058900967726
DAROCA,PORTO,608.3649744652214,10675,0.6908665105386417,0.6175676712379841
DAROCA,SORIA,115.75300736284872,13075,0.8508604206500956,0.6413069613872721
DAROCA,TARIFA,673.7930290643372,12877,0.7905568067096373,0.6967433114807802
DAROCA,TORREVIEJA,353.9576047317979,10617,0.7804464538005086,0.7327434707251218
DAROCA,VALENCIA,202.0600060499945,13415,0.8184867685426761,0.7095910976656045
DAROCA,VANDELLOS,192.12935002265584,11008,0.8215843023255814,0.7065181367311673
