station_j,station_k,state_class,dist_exact,n_class_days_exact,n_used_exact,n_cells_exact,phi_bar_exact,dist_binned,n_class_days_binned,n_used_binned,n_cells_binned,phi_bar_binned
LORCA,PORTO,dry-dry,719.8418893182059,1281,0,0,,719.8418893182059,1281,1152,9,-0.017280628673557244
LORCA,PORTO,dry-wet,719.8418893182059,274,0,0,,719.8418893182059,274,137,4,-0.08834096102162738
LORCA,PORTO,wet-wet,719.8418893182059,9,0,0,,719.8418893182059,9,0,0,
LORCA,SORIA,dry-dry,463.21138692365764,1332,23,2,0.1518070169322535,463.21138692365764,1332,1248,11,0.003941057843808288
LORCA,SORIA,dry-wet,463.21138692365764,358,34,3,-0.07210204318430874,463.21138692365764,358,261,9,0.017722062195217946
LORCA,SORIA,wet-wet,463.21138692365764,23,0,0,,463.21138692365764,23,0,0,
LORCA,TARIFA,dry-dry,393.000828128321,965,0,0,,393.000828128321,965,741,2,0.16446580382962595
LORCA,TARIFA,dry-wet,393.000828128321,68,0,0,,393.000828128321,68,10,1,-1.0
LORCA,TARIFA,wet-wet,393.000828128321,13,0,0,,393.000828128321,13,0,0,
LORCA,TORREVIEJA,dry-dry,92.9629128265286,1087,72,4,0.6608020828558308,92.9629128265286,1087,861,5,0.32134177460072366
LORCA,TORREVIEJA,dry-wet,92.9629128265286,63,0,0,,92.9629128265286,63,12,1,0.13483997249264842
LORCA,TORREVIEJA,wet-wet,92.9629128265286,38,23,1,0.4443938593811115,92.9629128265286,38,23,1,0.4443938593811115
LORCA,VALENCIA,dry-dry,233.25734632832993,1155,45,2,0.5374745699751978,233.25734632832993,1155,1092,10,0.14115308098593124
LORCA,VALENCIA,dry-wet,233.25734632832993,171,0,0,,233.25734632832993,171,104,3,-0.05938740456384727
LORCA,VALENCIA,wet-wet,233.25734632832993,42,23,1,0.30496877279641665,233.25734632832993,42,23,1,0.30496877279641665
LORCA,VANDELLOS,dry-dry,428.19478759397066,1312,24,2,0.2623204580173322,428.19478759397066,1312,1161,9,0.022612286231898805
LORCA,VANDELLOS,dry-wet,428.19478759397066,202,0,0,,428.19478759397066,202,136,3,-0.04083545480766011
LORCA,VANDELLOS,wet-wet,428.19478759397066,21,13,1,0.1011299793694863,428.19478759397066,21,13,1,0.1011299793694863
LORCA,VIMIANZO,dry-dry,865.2869295532565,1419,17,1,-0.1613743060919757,865.2869295532565,1419,1395,14,-0.01070731987336993
LORCA,VIMIANZO,dry-wet,865.2869295532565,647,12,1,-0.3567530340063379,865.2869295532565,647,489,6,-0.005021936713528585
LORCA,VIMIANZO,wet-wet,865.2869295532565,25,0,0,,865.2869295532565,25,0,0,
LORCA,ZAMORA,dry-dry,551.8402907324325,1485,21,2,-0.13099496641004554,551.8402907324325,1485,1454,13,0.06012245475405415
LORCA,ZAMORA,dry-wet,551.8402907324325,265,11,1,0.1,551.8402907324325,265,211,8,-0.041117706786656834
LORCA,ZAMORA,wet-wet,551.8402907324325,23,10,1,-0.16666666666666666,551.8402907324325,23,10,1,-0.16666666666666666
MONTSERRAT,OURENSE,dry-dry,805.6077124931321,927,85,6,-0.06807660873787597,805.6077124931321,927,927,16,-0.005997049489591424
MONTSERRAT,OURENSE,dry-wet,805.6077124931321,345,73,5,-0.10409741550122813,805.6077124931321,345,231,10,-0.11662100360606426
MONTSERRAT,OURENSE,wet-wet,805.6077124931321,46,21,1,-0.13762047064079508,805.6077124931321,46,32,2,-0.21921968385802176
MONTSERRAT,OVIEDO,dry-dry,661.86942974353,1090,528,23,0.05527700796626143,661.86942974353,1090,1090,16,-0.0010414330417420077
MONTSERRAT,OVIEDO,dry-wet,661.86942974353,682,392,19,-0.03692649324916736,661.86942974353,682,648,16,-0.056350603131392764
MONTSERRAT,OVIEDO,wet-wet,661.86942974353,146,104,4,0.2705734097479435,661.86942974353,146,127,4,0.24271849711906085
MONTSERRAT,PAMPLONA,dry-dry,317.04551951128434,1224,311,14,0.1387287148763264,317.04551951128434,1224,1224,16,0.0810668089252416
MONTSERRAT,PAMPLONA,dry-wet,317.04551951128434,415,185,12,-0.03588048559156478,317.04551951128434,415,369,13,-0.10281202545064626
MONTSERRAT,PAMPLONA,wet-wet,317.04551951128434,109,83,4,0.29644035597105367,317.04551951128434,109,100,4,0.27361199346053794
MONTSERRAT,PONFERRADA,dry-dry,704.4850567179411,1215,246,14,0.009411001936084868,704.4850567179411,1215,1215,16,0.01980415577110144
MONTSERRAT,PONFERRADA,dry-wet,704.4850567179411,454,160,11,-0.05674353916815117,704.4850567179411,454,390,14,-0.05354468354120172
MONTSERRAT,PONFERRADA,wet-wet,704.4850567179411,61,37,2,-0.13852575873186437,704.4850567179411,61,43,2,-0.03503995129928072
MONTSERRAT,PORTO,dry-dry,877.5041047929506,1338,148,10,-0.04521337051608712,877.5041047929506,1338,1338,16,-0.02645584598822169
MONTSERRAT,PORTO,dry-wet,877.5041047929506,469,105,8,0.004505112050328447,877.5041047929506,469,386,12,-0.043131144467427156
MONTSERRAT,PORTO,wet-wet,877.5041047929506,48,25,2,-0.0047833839759180204,877.5041047929506,48,30,2,-0.12145478671766706
MONTSERRAT,SORIA,dry-dry,359.45237758100865,1380,418,19,0.2511439349637362,359.45237758100865,1380,1380,16,0.18912522135854873
MONTSERRAT,SORIA,dry-wet,359.45237758100865,425,193,12,-0.19881317535375692,359.45237758100865,425,404,15,-0.1613177938003882
MONTSERRAT,SORIA,wet-wet,359.45237758100865,109,72,2,0.20185645722373588,359.45237758100865,109,102,4,0.24941424015735128
MONTSERRAT,TARIFA,dry-dry,894.0073536859612,817,0,0,,894.0073536859612,817,576,7,0.04364112922584323
MONTSERRAT,TARIFA,dry-wet,894.0073536859612,189,0,0,,894.0073536859612,189,15,1,0.21821789023599233
MONTSERRAT,TARIFA,wet-wet,894.0073536859612,17,0,0,,894.0073536859612,17,0,0,
MONTSERRAT,TORREVIEJA,dry-dry,457.3761585560558,1034,63,4,0.5804415777641733,457.3761585560558,1034,976,8,0.18741999070639617
MONTSERRAT,TORREVIEJA,dry-wet,457.3761585560558,198,0,0,,457.3761585560558,198,143,3,-0.06455498738421657
MONTSERRAT,TORREVIEJA,wet-wet,457.3761585560558,30,17,1,-0.23570226039551584,457.3761585560558,30,17,1,-0.23570226039551584
MONTSERRAT,VALENCIA,dry-dry,299.9337136524067,1104,255,10,0.1985281858746806,299.9337136524067,1104,1090,15,0.11685873673072912
