data_source,f_1,kappa,sigma,xi
BILBAO AEROPUERTO autumn,0.2888665997993982,0.8219845496306377,5.4988086597790655,-0.03433152347974766
BILBAO AEROPUERTO winter,0.3803245436105477,0.8264994292011946,5.086355986160355,0.0656192704797567
BIZERTE KAROUBA all,0.26142595978062155,0.9681761454048439,5.598037715109258,0.38032820845836757
BIZERTE KAROUBA spring,0.24203821656050956,1.0041209880351374,6.061646670526659,0.3041964549738498
BIZERTE KAROUBA summer,0.023809523809523808,0.979169609352967,26.814800876033843,0.048124505854659695
BIZERTE KAROUBA autumn,0.2721518987341772,0.8763431810060646,5.2897549052424475,0.11458883084628277
BIZERTE KAROUBA winter,0.32105263157894737,0.8961010803630279,5.384665577261067,-0.10122594183176305
BORDEAUX-MERIGNAC all,0.3109323237103644,0.8383082460471061,6.314295263691289,-0.059996428005369966
BORDEAUX-MERIGNAC spring,0.3297199638663053,0.8812212870476916,5.141661930323992,0.06220030990365269
BORDEAUX-MERIGNAC summer,0.23671497584541062,0.9000325325055656,6.71089859464933,-0.09647583405354405
BORDEAUX-MERIGNAC autumn,0.3141509433962264,0.7841845359854629,6.526093595687591,-0.10608143104377273
BORDEAUX-MERIGNAC winter,0.3623046875,0.7984185858943592,6.769410812271636,-0.08446437438178148
BOTEV VRAH (TOP/SOMMET) all,0.31553592934564434,0.8076091016456203,5.14299727496591,0.009008072316561762
BOTEV VRAH (TOP/SOMMET) spring,0.3516819571865443,0.6842025153007196,5.282608915050999,-0.14948602014204201
BOTEV VRAH (TOP/SOMMET) summer,0.30381679389312977,0.8590774226137595,4.895328015970256,0.06770800264761666
BOTEV VRAH (TOP/SOMMET) autumn,0.2677595628415301,0.9603126932047955,5.763533101290896,0.032809388561352494
BOTEV VRAH (TOP/SOMMET) winter,0.33175355450236965,0.7597666651052011,4.529819582110515,-0.020799392097675305
BRAGANCA all,0.26415857605177995,0.8379308678281154,9.391897201656072,0.08823081337645955
BRAGANCA spring,0.27116212338593976,0.7922425275490959,8.583331965466487,-0.018637684157249663
BRAGANCA summer,0.16028708133971292,0.8939684316269875,16.20724882914825,-0.0007728517017450158
BRAGANCA autumn,0.254746835443038,0.8486986029318773,8.489029006622356,0.012110710731280368
BRAGANCA winter,0.3255172413793103,0.8562588078716702,7.6776812619737305,0.06884636967723737
