souid,city,country,lat,lon
184177,HAIDMUEHLE-BISCHOFSREUT,DE,48.84805555555556,13.726666666666668
183329,FINSTERWALDE,DE,51.63166666666667,13.716388888888888
188159,SCHWARZENBACH-GOETZMANNSGRUEN,DE,50.1925,11.893055555555556
185265,KNUELLWALD-NIEDERBEISHEIM,DE,51.04277777777778,9.523055555555556
182109,BIRSTEIN-FISCHBORN,DE,50.38194444444444,9.301666666666668
189231,WALDENBURG-OBERSTEINBACH,DE,49.15138888888889,9.618055555555555
138146,GODEBERG,SE,57.57,14.63
185649,LECHBRUCK,DE,47.6925,10.798055555555557
186087,MEHREN,DE,50.181666666666665,6.876388888888889
221350,ALBEMARLE,GB,55.02,-1.8816666666666664
185833,LOEWENBERG/MARK,DE,52.895,13.15638888888889
185913,LUENEN,DE,51.61666666666667,7.533055555555555
123202,HAGEN-FLEY,DE,51.41416666666667,7.490277777777778
100234,HERAKLION,GR,35.33305555555556,25.18305555555556
185503,LAHNSTEIN,DE,50.28805555555555,7.62388888888889
237455,ZARNOWA,PL,49.88305555555556,21.816666666666663
183747,GLINDENBERG,DE,52.23777777777778,11.681944444444444
255107,SAN MICHELE ALL'ADIGE,IT,46.1925,11.131944444444445
182923,DUEREN,DE,50.81,6.481944444444444
185021,KALBE/MILDE,DE,52.65555555555555,11.386666666666668
187915,SCHIERLING,DE,48.83527777777778,12.150833333333331
237011,GUBALOWKA,PL,49.3,19.93305555555556
269766,ALPEDRETE,ES,40.659444444444446,-4.0175
137904,FALKENBERG,SE,56.9,12.48
233924,BIRKFELD,AT,47.36638888888889,15.683055555555557
138944,BOGESUND,SE,59.41,18.23
189671,WINDECK-DISTELSHAUSEN,DE,50.812777777777775,7.660555555555556
187355,RASDORF,DE,50.71527777777778,9.899166666666666
138564,HJALMSATER,SE,58.580000000000005,13.34
186205,MOECKERN,DE,52.14555555555555,11.955833333333333
182689,DAHLEM-SCHMIDTHEIM,DE,50.41138888888889,6.561388888888889
127642,BERLIN-KANISWALL,DE,52.40555555555555,13.73277777777778
138268,ANINGE,SE,57.87,16.05
122782,GENTHIN,DE,52.38916666666667,12.163333333333334
138710,SJOGARDE,SE,58.98,17.84
185981,MAMMING-SCHNEIDERBERG,DE,48.61833333333333,12.623055555555556
101269,CAMBORNE,GB,50.21666666666667,-5.316666666666666
155431,HOEK_VAN_HOLLAND_1,NL,51.98527777777778,4.148055555555556
180860,BERCHTESGADEN (KKST),DE,47.634166666666665,13.010555555555555
201407,BLEKTJERN VED DRAMMEN,NO,59.725,10.186944444444444
185705,LENNESTADT-BILSTEIN,DE,51.09555555555556,8.015555555555556
235497,WR.NEUSTADT/FLUGPLATZ,AT,47.83166666666667,16.230833333333333
138028,OSKARSHAMN,SE,57.27,16.41
181625,ALTENSTEIG-WART,DE,48.61666666666667,8.65
183789,GOETTIN,DE,52.36527777777778,12.551666666666668
110285,GVARV,NO,59.38305555555556,9.183055555555557
125974,BAD-NEUNKIRCHEN MERGENTHEIM,DE,49.47805555555556,9.763055555555557
187379,BRAMBACH BAD RAUN-GUERTH,DE,50.24638888888889,12.264166666666666
132106,BORKUM-FLUGPLATZ,DE,53.6,6.703055555555555
156585,TARREGA,ES,41.66666666666666,1.1652777777777776
182593,CALDEN-FUERSTENWALD,DE,51.38444444444444,9.363055555555556
