Unnamed: 0,souid,city,country,lat,lon,city_key,years_mode,years_with_data,nan_fraction,total_rows_post_threshold
2105,239963,KASPROWY WIERCH,PL,49.2325,19.981666666666666,,distinct_years,75,0.0,27272
2263,238631,SKIERNIEWICE,PL,51.96666666666667,20.166666666666668,,distinct_years,75,0.0,27272
1391,239843,GDANSK-SWIBNO,PL,54.33305555555556,18.93305555555556,,distinct_years,75,0.0,27272
1114,237419,IWONICZ-ZDROJ,PL,49.56666666666667,21.78305555555556,,distinct_years,65,0.0,23619
2371,240035,KATOWICE-MUCHOWIEC,PL,50.24055555555556,19.032777777777778,,distinct_years,75,0.0,27272
1994,239279,BIELSK PODLASKI,PL,52.766666666666666,23.166666666666668,,distinct_years,65,0.0,23619
1403,239891,KMIECIN,PL,54.18305555555556,19.166666666666668,,distinct_years,64,0.0,23073
1689,240551,ZAKOPANE,PL,49.3,19.95,,distinct_years,75,0.0,27272
937,238595,PUCZNIEW,PL,51.78305555555556,19.08305555555556,,distinct_years,75,0.0,27272
1771,237635,KARPACZ,PL,50.78305555555556,15.783055555555556,,distinct_years,75,0.0,27272
2026,237995,OLEWIN,PL,50.2775,19.602500000000003,,distinct_years,54,0.0,19389
1484,237515,KOMANCZA,PL,49.33305555555556,22.066666666666663,,distinct_years,70,0.0,25446
842,238283,OZANSK,PL,50.03305555555556,22.58305555555556,,distinct_years,65,0.0,23619
2538,107317,SLUBICE,PL,52.348333333333336,14.619444444444444,,distinct_years,75,0.0,27272
2138,237035,SIENIAWA,PL,49.53305555555556,19.916666666666668,,distinct_years,65,0.0,23619
2503,107302,TORUN,PL,53.04166666666666,18.59555555555556,,distinct_years,80,0.0,29098
706,240563,LODZ,PL,51.73,19.4,,distinct_years,75,0.0,27272
2474,237743,SWIDNICA,PL,50.85,16.466666666666665,,distinct_years,65,0.0,23619
1450,239771,CZARNA DABROWKA,PL,54.35,17.566666666666666,,distinct_years,65,0.0,23619
197,107323,SULEJOW,PL,51.35305555555556,19.86638888888889,,distinct_years,65,0.0,23529
2188,237179,PIWNICZNA,PL,49.43305555555556,20.7,,distinct_years,55,0.0,19967
2095,237695,SLOSZOW,PL,50.41,16.379444444444445,,distinct_years,51,0.0,18506
2469,237431,WYSOWA,PL,49.43305555555556,21.18305555555556,,distinct_years,65,0.0,23619
1610,239423,SLIWICE,PL,53.7,18.18305555555556,,distinct_years,75,0.0,27272
1281,237899,SUKOWICE,PL,50.266666666666666,18.166666666666668,,distinct_years,65,0.0,23619
1694,237227,MUSZYNA,PL,49.35,20.88305555555556,,distinct_years,65,0.0,23619
1017,237731,DUSZNIKI-ZDROJ,PL,50.4,16.399722222222223,,distinct_years,65,0.0,23619
2675,238211,KOLBUSZOWA,PL,50.23305555555556,21.8,,distinct_years,65,0.0,23619
1063,239267,BIALA PODLASKA,PL,52.03305555555556,23.08305555555556,,distinct_years,75,0.0,27272
1379,239327,PRZELEWICE,PL,53.1,15.083055555555555,,distinct_years,70,0.0,25446
1807,238703,SOBIESZYN,PL,51.61666666666667,22.15,,distinct_years,70,0.0,25446
2382,236771,PSZCZYNA,PL,50.0,18.916666666666668,,distinct_years,70,0.0,25446
1507,107301,CHOJNICE,PL,53.71527777777778,17.53222222222222,,distinct_years,75,0.0,27272
1502,239723,MIASTKO,PL,54.016666666666666,16.983055555555556,,distinct_years,50,0.0,18141
934,238871,SULECIN,PL,52.45,15.1,,distinct_years,65,0.0,23619
2199,100643,HEL,PL,54.60333333333333,18.811666666666667,,distinct_years,80,0.0,29098
1319,236927,ZAWOJA,PL,49.61666666666667,19.516666666666666,,distinct_years,65,0.0,23619
1164,239855,LISEWO,PL,54.1,18.83305555555556,,distinct_years,51,0.0,18475
2444,107321,LESZNO,PL,51.83555555555556,16.534444444444446,,distinct_years,68,0.0,24715
1023,107328,KRAKOW,PL,50.07777777777778,19.795,,distinct_years,66,0.0,23650
982,239219,SZEPIETOWO,PL,52.85,22.55,,distinct_years,75,0.0,27272
2550,239867,HOPOWO,PL,54.25,18.25,,distinct_years,70,0.0,25355
521,107315,OLSZTYN,PL,53.76833333333333,20.42138888888889,,distinct_years,80,0.0,29098
1876,107309,MLAWA,PL,53.10416666666667,20.360833333333336,,distinct_years,66,0.0,23650
1040,236831,JASTRZEBIE-ZDROJ,PL,49.95,18.566666666666663,,distinct_years,65,0.0,23619
2170,100659,WARSZAWA-OKECIE,PL,52.16277777777778,20.960833333333333,,distinct_years,76,0.0,27303
1738,237395,BIECZ-GRUDNA,PL,49.73305555555556,21.25,,distinct_years,70,0.0,25446
883,239987,JELENIA GORA,PL,50.900277777777774,15.78888888888889,,distinct_years,75,0.0,27272
2148,239999,SNIEZKA,PL,50.73583333333333,15.739166666666666,,distinct_years,75,0.0,27272
2666,237203,KRYNICA,PL,49.41666666666666,20.966666666666665,,distinct_years,65,0.0,23619
1725,238883,SZAMOTULY-BABOROWKO,PL,52.58305555555556,16.633055555555558,,distinct_years,75,0.0,27272
136,237671,SZCZAWNO-ZDROJ,PL,50.8,16.233055555555556,,distinct_years,70,0.0,25446
1121,238643,LAZISKA,PL,51.33305555555556,20.916666666666668,,distinct_years,51,0.0,18506
2209,239375,POLCZYN-ZDROJ,PL,53.766666666666666,16.083055555555557,,distinct_years,65,0.0,23619
1648,240023,CZOSTOCHOWA,PL,50.8125,19.0925,,distinct_years,75,0.0,27272
2268,100655,SZCZECIN,PL,53.39527777777778,14.622777777777776,,distinct_years,76,0.0,27303
1018,239807,ROZEWIE,PL,54.83305555555556,18.33305555555556,,distinct_years,75,0.0,27272
2652,239927,GIZYCKO,PL,54.03305555555556,21.8,,distinct_years,65,0.0,23619
783,237851,OLAWA,PL,50.95,17.316666666666666,,distinct_years,65,0.0,23619
2125,237803,PRUDNIK,PL,50.31666666666667,17.566666666666666,,distinct_years,70,0.0,25446
2279,239171,PULTUSK,PL,52.06777777777778,21.001666666666665,,distinct_years,75,0.0,27272
1005,238331,TOMASZOW LUBELSKI,PL,50.45,23.4,,distinct_years,75,0.0,27272
505,237119,LIMANOWA,PL,49.68305555555556,20.43305555555556,,distinct_years,74,0.0,26907
2108,238691,OPOLE LUBELSKIE,PL,51.13305555555556,21.93305555555556,,distinct_years,65,0.0,23619
2329,238451,SZPROTAWA,PL,51.56666666666667,15.533055555555556,,distinct_years,65,0.0,23619
223,237455,ZARNOWA,PL,49.88305555555556,21.816666666666663,,distinct_years,65,0.0,23619
888,238739,NOWA WIES,PL,51.45,22.75,,distinct_years,65,0.0,23619
2428,237047,ZYWIEC,PL,49.71666666666667,19.23305555555556,,distinct_years,65,0.0,23619
183,239195,SINOLEKA,PL,52.21666666666667,21.916666666666668,,distinct_years,65,0.0,23619
999,238103,SIELEC,PL,50.31666666666667,20.416666666666668,,distinct_years,70,0.0,25446
2260,239975,PRZEMYSL,PL,49.80416666666667,22.771666666666665,,distinct_years,72,0.0,26176
2242,239543,SZCZYTNO,PL,53.58305555555556,21.016666666666666,,distinct_years,75,0.0,27272
1718,240107,LEGNICA,PL,51.1925,16.2075,,distinct_years,75,0.0,27272
2215,238139,WIELICZKA,PL,50.0,20.05,,distinct_years,65,0.0,23619
414,237755,DOBROGOSZCZ,PL,50.766666666666666,17.016666666666666,,distinct_years,70,0.0,25446
1369,236891,MAKOW PODHALANSKI,PL,49.73305555555556,19.68305555555556,,distinct_years,70,0.0,25446
2634,239519,PRZASNYSZ,PL,53.03305555555556,20.9,,distinct_years,65,0.0,23619
2253,239087,WARSZAWA-BIELANY,PL,52.28305555555556,20.966666666666665,,distinct_years,75,0.0,27272
58,236963,JABLONKA,PL,49.46666666666667,19.7,,distinct_years,65,0.0,23619
2580,238319,WERBKOWICE,PL,50.75,23.766666666666666,,distinct_years,65,0.0,23619
2280,239183,SWIDER,PL,52.11666666666667,21.25,,distinct_years,70,0.0,25446
1437,239711,DARLOWO,PL,54.45,16.383055555555558,,distinct_years,75,0.0,27272
1991,239027,GLODOWO,PL,52.83305555555556,19.23305555555556,,distinct_years,51,0.0,18506
1373,238079,SKRONIOW,PL,50.63305555555556,20.266666666666666,,distinct_years,65,0.0,23619
1109,239411,RADOSTOWO,PL,53.98305555555556,18.75,,distinct_years,74,0.0,26907
2116,237767,GRODKOW,PL,50.68305555555556,17.41638888888889,,distinct_years,65,0.0,23619
891,107329,KIELCE,PL,50.81055555555555,20.691944444444445,,distinct_years,75,0.0,27272
1036,238247,WYSOKIE,PL,50.91666666666666,22.666666666666668,,distinct_years,54,0.0,19602
2638,239531,BISKUPIEC,PL,53.85,20.98305555555556,,distinct_years,65,0.0,23619
2295,240143,PLOCK,PL,52.58805555555556,19.725555555555555,,distinct_years,75,0.0,27272
2706,238295,LEZAJSK,PL,50.25,22.416666666666668,,distinct_years,65,0.0,23619
867,107286,SUWALKI,PL,54.13055555555555,22.948888888888888,,distinct_years,66,0.0,23650
800,107326,RACIBORZ,PL,50.06083333333333,18.190555555555555,,distinct_years,75,0.0,27272
2276,237959,SILNICZKA,PL,50.91666666666666,19.766666666666666,,distinct_years,65,0.0,23468
2254,100647,POZNAN,PL,52.19944444444444,18.66027777777777,,distinct_years,76,0.0,27303
1518,240155,RESKO-SMOLSKO,PL,53.77166666666667,15.414444444444444,,distinct_years,75,0.0,27272
1859,238271,TARNOGROD,PL,50.36666666666667,22.75,,distinct_years,65,0.0,23619
1508,239903,TOLKMICKO,PL,54.31666666666667,19.53305555555556,,distinct_years,75,0.0,27272
1608,107316,GORZOW WLKP,PL,52.740833333333335,15.276944444444446,,distinct_years,75,0.0,27272
1026,239459,KONCZEWICE,PL,53.18305555555556,18.55,,distinct_years,60,0.0,21793
1329,240059,TARNOW,PL,50.03,20.984166666666667,,distinct_years,75,0.0,27272
2059,239315,TRZEBIEZ,PL,53.66666666666666,14.533055555555556,,distinct_years,75,0.0,27272
1616,239243,BIALOWIEZA,PL,52.7,23.85,,distinct_years,75,0.0,27272
1503,237491,SANOK-TREPCZA,PL,49.58305555555556,22.18305555555556,,distinct_years,75,0.0,27272
2670,107320,ZIELONA GORA,PL,51.93,15.524444444444445,,distinct_years,75,0.0,27272
2441,240545,LADEK ZDROJ,PL,50.35,16.88,,distinct_years,65,0.0,23619
1124,240263,ELBLAG-MILEJEWO,PL,54.223055555555554,19.543333333333337,,distinct_years,75,0.0,27272
1690,239687,DZIWNOW,PL,54.016666666666666,14.733055555555556,,distinct_years,71,0.0,25721
2605,237707,DLUGOPOLE-ZDRÓJ,PL,50.25,16.633055555555558,,distinct_years,55,0.0,19967
1077,238007,BIERUN STARY,PL,50.08305555555556,19.1,,distinct_years,65,0.0,23619
2352,238055,OLKUSZ,PL,50.28305555555556,19.566666666666663,,distinct_years,65,0.0,23619
152,239015,CIECHOCINEK,PL,52.88305555555556,18.8,,distinct_years,66,0.0,23650
1815,238943,KORNIK,PL,52.25,17.1,,distinct_years,75,0.0,27272
1241,107295,SWINOUJSCIE,PL,53.92305555555555,14.241944444444444,,distinct_years,75,0.0,27272
2171,238775,KRASNYSTAW,PL,51.0,23.15,,distinct_years,65,0.0,23619
2591,239663,ROZANYSTOK,PL,53.63305555555556,23.4,,distinct_years,65,0.0,23619
2301,237575,BRZEGI DOLNE,PL,49.45,22.616666666666667,,distinct_years,65,0.0,23619
2622,238667,JARCZEW,PL,51.81666666666667,21.98305555555556,,distinct_years,51,0.0,18506
1145,238367,LUBACZOW,PL,50.15,23.13305555555556,,distinct_years,65,0.0,23619
1515,100651,RZESZOW JASIONKA,PL,50.11055555555556,22.041944444444447,,distinct_years,75,0.0,26938
1011,239039,TOPOLA-BLONIE,PL,52.08305555555556,19.18305555555556,,distinct_years,65,0.0,23619
228,237011,GUBALOWKA,PL,49.3,19.93305555555556,,distinct_years,65,0.0,23619
1878,240095,ZGORZELEC,PL,51.13305555555556,15.033055555555556,,distinct_years,75,0.0,27272
1672,239147,NIEPOKALANOW,PL,52.2,20.416666666666668,,distinct_years,75,0.0,27272
