,souid,city,country,lat,lon,city_key,years_mode,years_with_data,nan_fraction,total_rows_post_threshold
897,112217,MONTE S. ANGELO,IT,41.7,15.95,,distinct_years,75,0.0,26968
903,100105,TOULOUSE-BLAGNAC,FR,43.62083333333334,1.3788888888888888,,distinct_years,79,0.0,28733
905,120188,LOGRONO AEROPUERTO,ES,42.45194444444445,-2.330833333333333,,distinct_years,78,0.0,28063
911,100678,PORTO,PT,41.23166666666667,-8.678888888888888,,distinct_years,80,0.0,29098
916,120080,GIRONA AEROPUERTO,ES,41.91166666666666,2.763055555555556,,distinct_years,53,0.0,19236
917,147756,TETUAN,MA,35.580000000000005,-5.33,,distinct_years,80,0.0,29098
918,119783,ALMERIA AEROPUERTO,ES,36.84638888888889,-2.356666666666667,,distinct_years,58,0.0,21063
926,256075,TEKIRDAG,TR,40.98,27.48,,distinct_years,63,0.0,22889
939,119936,CADIZ,ES,36.49944444444444,-6.257777777777778,,distinct_years,80,0.0,29098
965,120548,CALAMOCHA  AERODROMO,ES,40.865,-1.305,,distinct_years,80,0.0,29098
972,100681,TAVIRA,PT,37.11666666666667,-7.65,,distinct_years,80,0.0,29098
976,120368,OURENSE,ES,42.32527777777778,-7.859444444444444,,distinct_years,66,0.0,23772
983,120611,BILBAO AEROPUERTO,ES,43.29805555555556,-2.906388888888889,,distinct_years,79,0.0,28674
991,101057,IN-AMENAS,DZ,28.05,9.633055555555556,,distinct_years,68,0.0,24442
995,108893,CRAIOVA,RO,44.23,23.87,,distinct_years,65,0.0,23619
997,105238,CHANIA,GR,35.5,24.03305555555556,,distinct_years,68,0.0,24715
1003,257321,ELHOVO,BG,42.18277777777777,26.566666666666663,,distinct_years,73,0.0,26421
1007,147720,GERYVILLE (EL-BAYADH),DZ,33.68,1.0,,distinct_years,80,0.0,29098
1073,268758,PALACIOS DE LA SIERRA,ES,41.95944444444445,-3.131666666666667,,distinct_years,76,0.0,27637
1078,147716,NEMOURS (GHAZAOUET),DZ,35.1,-1.85,,distinct_years,80,0.0,29098
1091,147776,TOZEUR,TN,33.919999999999995,8.1,,distinct_years,80,0.0,29098
1093,147710,BEJAIA-BOUGIE (PORT),DZ,36.75,5.1,,distinct_years,80,0.0,29098
1104,104108,MONTELIMAR,FR,44.58083333333334,4.733055555555556,,distinct_years,80,0.0,29098
1105,257139,VIDIN,BG,43.994166666666665,22.852500000000003,,distinct_years,51,0.0,18263
1106,256845,MAKEDONIA,GR,40.52,22.970555555555556,,distinct_years,62,0.0,22524
1107,104887,PAMIERS,FR,43.11666666666667,1.6175,,distinct_years,66,0.0,23985
1130,257314,SLIVEN,BG,42.67,26.32,,distinct_years,73,0.0,26421
1141,120503,MORON DE LA FRONTERA,ES,37.16416666666667,-5.6113888888888885,,distinct_years,80,0.0,29067
1156,256915,ANDRAVIDA,GR,37.91666666666666,21.28305555555556,,distinct_years,61,0.0,22068
1182,147773,KAIROUAN,TN,35.669999999999995,10.1,,distinct_years,80,0.0,29098
1191,269538,ARANJUEZ,ES,40.066944444444445,-3.5458333333333334,,distinct_years,50,0.0,18050
1198,104112,EMBRUN,FR,44.56555555555556,6.501944444444445,,distinct_years,80,0.0,29098
1208,268362,BEARIZ,ES,42.46805555555556,-8.278055555555556,,distinct_years,52,0.0,18840
1221,100729,ESTACION DE TORTOSA (ROQUETES),ES,40.82027777777778,0.4930555555555556,,distinct_years,80,0.0,29098
1240,257293,BOTEV VRAH (TOP/SOMMET),BG,42.66666666666666,24.83277777777778,,distinct_years,69,0.0,24899
1247,100117,PERPIGNAN,FR,42.73694444444445,2.872777777777778,,distinct_years,80,0.0,29098
1269,119999,CASTELLO - ALMASSORA,ES,39.956944444444446,-0.0716666666666666,,distinct_years,50,0.0,18141
1271,147717,SIDI-BEL-ABBES,DZ,35.2,-0.63,,distinct_years,80,0.0,29098
1274,119221,ROTA BASE NAVAL,ES,36.638888888888886,-6.3325,,distinct_years,68,0.0,24442
1284,147771,KELIBIA,TN,36.85,11.08,,distinct_years,80,0.0,29098
1297,100942,ALGER-DAR EL BEIDA,DZ,36.71666666666667,3.25,,distinct_years,80,0.0,29098
1298,257265,DRAGOMAN,BG,42.93277777777777,22.93277777777778,,distinct_years,51,0.0,18294
1300,112292,LUQA,MT,35.85,14.483055555555556,,distinct_years,70,0.0,25446
1305,256579,IZMIR/GUZELYALI,TR,38.43277777777777,27.166666666666668,,distinct_years,76,0.0,27637
1312,104120,NICE,FR,43.64888888888889,7.208888888888889,,distinct_years,80,0.0,29098
1322,105227,ZAVIZAN,HR,44.81666666666667,14.983055555555556,,distinct_years,74,0.0,26572
1326,264930,SIERRA DE ALFABIA  BUNYOLA,ES,39.735,2.713055555555556,,distinct_years,55,0.0,19877
1338,100719,SALAMANCA AEROPUERTO,ES,40.95916666666667,-5.498055555555555,,distinct_years,80,0.0,29098
1341,112262,HON,LY,29.12,15.95,,distinct_years,70,0.0,25446
1342,257237,SHABLA,BG,43.532777777777774,28.532777777777778,,distinct_years,51,0.0,18294
1344,106199,GOURDON,FR,44.745,1.3966666666666667,,distinct_years,65,0.0,23588
1349,257244,KALIAKPA,BG,43.36666666666667,28.466666666666665,,distinct_years,53,0.0,19177
1350,100722,DONOSTIA SAN SEBASTIAN IGELDO,ES,43.30638888888888,-2.040833333333333,,distinct_years,80,0.0,29098
1361,268194,ESCUELA NAVAL DE MARIN,ES,42.395833333333336,-8.706666666666665,,distinct_years,52,0.0,18871
1363,268242,O PARAMO,ES,42.84527777777778,-7.499166666666666,,distinct_years,52,0.0,18840
